
SPDR S&P 500 ETF Trust,Last: 409.72,Change:  0.11
Date: 11 April, 2023 à 22:23 UTC−4,Bid: 409.9,Ask: 409.94,Size: 3*5,Volume: 59 252 940
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 11 2023,SPY230411C00450000,0,0,0,0.01,0,5.844,0,0,0,450.00,SPY230411P00450000,0,0,39.48,40.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00451000,0.01,0,0,0.01,0,5.9705,0,0,37,451.00,SPY230411P00451000,0,0,40.48,41.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00452000,0,0,0,0.01,0,6.0965,0,0,0,452.00,SPY230411P00452000,0,0,41.48,42.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00453000,0,0,0,0.01,0,6.2221,0,0,0,453.00,SPY230411P00453000,0,0,42.48,43.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00454000,0,0,0,0.01,0,6.3471,0,0,0,454.00,SPY230411P00454000,0,0,43.48,44.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00455000,0,0,0,0.01,0,6.4717,0,0,0,455.00,SPY230411P00455000,0,0,44.48,45.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00456000,0,0,0,0.01,0,6.5957,0,0,0,456.00,SPY230411P00456000,0,0,45.48,46.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00457000,0,0,0,0.01,0,6.7194,0,0,0,457.00,SPY230411P00457000,0,0,46.48,47.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00458000,0.01,0,0,0.01,0,6.8425,0,0,25,458.00,SPY230411P00458000,0,0,47.48,48.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00459000,0,0,0,0.01,0,6.9652,0,0,0,459.00,SPY230411P00459000,0,0,48.48,49.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00460000,0,0,0,0.01,0,7.0874,0,0,0,460.00,SPY230411P00460000,0,0,49.48,50.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00461000,0,0,0,0.01,0,7.2092,0,0,0,461.00,SPY230411P00461000,0,0,50.48,51.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00462000,0,0,0,0.01,0,7.3305,0,0,0,462.00,SPY230411P00462000,0,0,51.48,52.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00463000,0,0,0,0.01,0,7.4514,0,0,0,463.00,SPY230411P00463000,0,0,52.48,53.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00464000,0,0,0,0.01,0,7.5719,0,0,0,464.00,SPY230411P00464000,0,0,53.48,54.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00465000,0,0,0,0.01,0,7.6919,0,0,0,465.00,SPY230411P00465000,0,0,54.48,55.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00466000,0,0,0,0.01,0,7.8116,0,0,0,466.00,SPY230411P00466000,0,0,55.48,56.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00467000,0,0,0,0.01,0,7.9308,0,0,0,467.00,SPY230411P00467000,0,0,56.48,57.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00468000,0,0,0,0.01,0,8.0496,0,0,0,468.00,SPY230411P00468000,0,0,57.48,58.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00469000,0,0,0,0.01,0,8.168,0,0,0,469.00,SPY230411P00469000,0,0,58.48,59.67,0,0,-1,0,0
Tue Apr 11 2023,SPY230411C00470000,0.01,0,0,0.01,0,8.286,0,0,1,470.00,SPY230411P00470000,0,0,59.48,60.67,0,0,-1,0,0
Wed Apr 12 2023,SPY230412C00330000,77.12,0,79.79,80.15,0,1.4874,0.9999,0,1,330.00,SPY230412P00330000,0.01,0.005,0,0.01,2,1.3052,-0.0001,0,17
Wed Apr 12 2023,SPY230412C00340000,0,0,69.79,70.15,0,1.2917,0.9999,0,0,340.00,SPY230412P00340000,0.02,0,0,0.01,0,1.1376,-0.0001,0,57
Wed Apr 12 2023,SPY230412C00346000,0,0,63.78,64.14,0,1.1768,0.9998,0,0,346.00,SPY230412P00346000,0,0,0,0.01,0,1.0386,-0.0001,0,0
Wed Apr 12 2023,SPY230412C00347000,0,0,62.78,63.14,0,1.1578,0.9998,0,0,347.00,SPY230412P00347000,0,0,0,0.01,0,1.0222,-0.0002,0,0
Wed Apr 12 2023,SPY230412C00348000,0,0,61.78,62.14,0,1.1389,0.9998,0,0,348.00,SPY230412P00348000,0,0,0,0.01,0,1.0059,-0.0002,0,0
Wed Apr 12 2023,SPY230412C00349000,0,0,60.78,61.14,0,1.12,0.9998,0,0,349.00,SPY230412P00349000,0.01,0,0,0.01,0,0.9896,-0.0002,0,271
