
SPDR S&P 500 ETF Trust,Last: 427.92,Change:  6.1
Date: 4 June 4, 3:15 PM EDT,Bid: 427.96,Ask: 428.03,Size: 1*6,Volume: 91,391,793
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jun 05 2023,SPY230605C00407000,21.13,6.705,20.53,21.37,9,0.2398,0.9926,0.0022,46,407.00,SPY230605P00407000,0.02,-0.055,0.01,0.02,4413,0.2189,-0.0071,0.0022,2019
Mon Jun 05 2023,SPY230605C00408000,20.19,6.755,19.53,20.37,216,0.2291,0.9921,0.0025,866,408.00,SPY230605P00408000,0.02,-0.065,0.01,0.02,3058,0.2093,-0.0076,0.0025,1694
Mon Jun 05 2023,SPY230605C00409000,19.75,7.305,18.53,19.37,94,0.2184,0.9915,0.0028,636,409.00,SPY230605P00409000,0.02,-0.075,0.01,0.02,796,0.1997,-0.0082,0.0028,2680
Mon Jun 05 2023,SPY230605C00410000,18.27,6.81,17.53,18.37,365,0.2076,0.9908,0.0031,1089,410.00,SPY230605P00410000,0.02,-0.095,0.02,0.03,2378,0.2019,-0.0089,0.0031,5851
Mon Jun 05 2023,SPY230605C00411000,17.2,6.715,16.54,17.37,118,0.201,0.9901,0.0035,553,411.00,SPY230605P00411000,0.02,-0.105,0.02,0.03,1704,0.192,-0.0096,0.0035,3195
Mon Jun 05 2023,SPY230605C00412000,16.26,6.75,15.54,16.38,475,0.1937,0.9893,0.0039,385,412.00,SPY230605P00412000,0.02,-0.135,0.02,0.03,1928,0.1818,-0.0105,0.0039,3602
Mon Jun 05 2023,SPY230605C00413000,15.1,6.555,14.54,15.38,255,0.1827,0.9883,0.0044,1061,413.00,SPY230605P00413000,0.02,-0.175,0.02,0.03,1719,0.1718,-0.0114,0.0044,3791
Mon Jun 05 2023,SPY230605C00414000,13.88,6.285,13.54,14.38,238,0.1717,0.9872,0.0051,368,414.00,SPY230605P00414000,0.03,-0.215,0.02,0.03,3721,0.1614,-0.0126,0.0051,3186
Mon Jun 05 2023,SPY230605C00415000,13.16,6.49,12.54,13.38,639,0.1606,0.9858,0.0059,2103,415.00,SPY230605P00415000,0.02,-0.3,0.02,0.03,8239,0.1511,-0.0139,0.0059,6078
Mon Jun 05 2023,SPY230605C00416000,12.03,6.26,11.55,12.38,349,0.1523,0.9842,0.0069,1521,416.00,SPY230605P00416000,0.03,-0.39,0.03,0.04,4133,0.1477,-0.0155,0.0069,3380
Mon Jun 05 2023,SPY230605C00417000,11.02,6.11,10.55,11.38,622,0.141,0.9822,0.0082,3254,417.00,SPY230605P00417000,0.03,-0.525,0.03,0.04,7519,0.137,-0.0175,0.0082,5321
Mon Jun 05 2023,SPY230605C00418000,10.06,5.95,9.55,10.38,621,0.1297,0.9796,0.0099,2548,418.00,SPY230605P00418000,0.04,-0.695,0.03,0.04,11775,0.1261,-0.02,0.0098,6112
Mon Jun 05 2023,SPY230605C00419000,9.08,5.73,8.56,9.39,1102,0.1225,0.9763,0.0122,4417,419.00,SPY230605P00419000,0.03,-0.945,0.03,0.04,15636,0.1151,-0.0234,0.0121,6185
Mon Jun 05 2023,SPY230605C00420000,7.96,5.3,7.62,8.39,6653,0.1203,0.9715,0.0154,4120,420.00,SPY230605P00420000,0.04,-1.265,0.04,0.05,45919,0.1083,-0.0282,0.0153,8306
Mon Jun 05 2023,SPY230605C00421000,7,4.92,6.58,7.39,3019,0.102,0.9642,0.0202,3984,421.00,SPY230605P00421000,0.06,-1.645,0.05,0.06,26792,0.1003,-0.0354,0.0201,5004
Mon Jun 05 2023,SPY230605C00422000,6.06,4.485,5.61,6.4,4323,0.0948,0.9521,0.0276,6049,422.00,SPY230605P00422000,0.08,-2.115,0.07,0.08,54218,0.0934,-0.0477,0.0277,3013
Mon Jun 05 2023,SPY230605C00423000,5.05,3.905,4.66,5.42,7967,0.0887,0.9312,0.0395,8871,423.00,SPY230605P00423000,0.1,-2.68,0.1,0.11,44004,0.0866,-0.0688,0.0397,1497
